payment_code,age,gender,handed,lang,study,caff,group,part,item_full,item_en,item_id,predicate,context,judgment,decision_time_item_1,submit_time,item_order,quarter
180376,30,femmina,destrimana/o,italiano,linguistica,Sì,c,A,Il panda non ha mai offeso la rana%2C ma se l'ha offesa di nuovo ieri%2C la rana lo prenderà in giro davanti a tutti.,The panda has never offended the frog%2C but if he offended her again yesterday%2C the frog will make fun of him in font of everybody.,31,again,notpif,1,6629,8284,43,2
180376,30,femmina,destrimana/o,italiano,linguistica,Sì,c,A,La rana non ha spaccato le automobiline%2C ma il panda%2C dopo averle esaminate%2C ha capito che la rana le ha spaccate.,I don't know if the frog broke the toy train%2C but the panda%2C after examining it%2C realized that the frog broke it.,41,semi_factive,dontknowwhetherand,2,13196,15536,44,2
180376,30,femmina,destrimana/o,italiano,linguistica,Sì,c,A,La papera non ha sporcato nulla%2C ma se ha sporcato anche il tappeto%2C il panda non la inviterà più a casa sua.,The duck didn't dirty anything%2C but if she dirtied the carpet too%2C the panda won't invite her anymore.,27,too,notpif,1,14072,14981,47,2
180376,30,femmina,destrimana/o,italiano,linguistica,Sì,c,A,La rana non ha strisciato la finestra in soffitta%2C ma la papera è arrabbiata che l'abbia strisciata. ,I don't know if the frog crawled the attic window%2C but the duck is angry that he crawled it.,36,true_factive,dontknowwhetherand,5,21453,22318,49,3
180376,30,femmina,destrimana/o,italiano,linguistica,Sì,c,A,Non so se il panda abbia bucato il pallone da calcio%2C ma se la rana è arrabbiata che l'abbia bucato%2C gli verserà del latte sul computer.,I don't know whether the panda punctured the football%2C but if the frog is angry that he did%2C he will pour milk over his laptop.,2,true_factive,dontknowwhether,3,21337,24442,52,3
180376,30,femmina,destrimana/o,italiano,linguistica,Sì,c,A,Non so se la papera abbia imbrattato il muro%2C ma se il panda crede che l'abbia imbrattato%2C le nasconderà tutti i pennarelli.,I don't know whether the duck painted the wall%2C but if the panda believes that she did%2C he will hide all of her crayons.,24,non_factive,dontknowwhether,7,8714,9679,56,3
180376,30,femmina,destrimana/o,italiano,linguistica,Sì,c,A,La papera non ha preso il voto massimo%2C ma se la rana pensa che l'abbia preso%2C sarà gelosa.,The duck didn't get the top grade%2C but if the frog thinks that she did%2C he will be jealous.,17,non_factive,notpif,7,4264,5152,57,3
180376,30,femmina,destrimana/o,italiano,linguistica,Sì,c,A,Non so se la rana abbia mai rovesciato la bottiglia d'olio%2C ma se l'ha rovesciata di nuovo ieri%2C la paperà le farà pulire tutta la cucina.,I don't know whether the frog has ever knocked over the oil bottle%2C but if she knocked it over again yesterday%2C the duck will make her clean the entire kitchen.,32,again,dontknowwhether,1,5051,9490,58,3
180376,30,femmina,destrimana/o,italiano,linguistica,Sì,c,A,La rana non ha truccato il mazzo di carte%2C ma se il panda capisce che l'ha truccato%2C la escluderà dal prossimo pigiama party. ,The frog didn't manipulate the deck%2C but if the panda understands that she did%2C he will uninvite him from the next sleepover.,9,semi_factive,notpif,2,14152,17842,61,3
180376,30,femmina,destrimana/o,italiano,linguistica,Sì,c,A,La rana non ha nascosto i pennarelli%2C ma se la papera capisce che li ha nascosti%2C le sotterrerà le figurine in giardino.,The frog didn't hide the crayons%2C but if the duck understands that he did%2C she bury his favorite figurines in the yard.,11,semi_factive,notpif,3,5080,8786,64,3
180376,30,femmina,destrimana/o,italiano,linguistica,Sì,c,A,La papera non ha smarrito il bracciale dell'amicizia%2C ma se la rana pensa che l'abbia smarrito%2C sarà molto delusa.,The duck didn't lose the friendship bracelet%2C but if the frog thinks that she did%2C he will be very disappointed.,19,non_factive,notpif,7,7068,7949,65,3
180376,30,femmina,destrimana/o,italiano,linguistica,Sì,c,A,La papera non ha distrutto il castello di sabbia%2C ma se il panda è triste che l'abbia distrutto%2C piangerà per tutto il giorno.,The duck didn't destroy the sand castle%2C but if the panda is sad that she did%2C he will cry all day.,5,true_factive,notpif,5,12076,12696,67,3
180376,30,femmina,destrimana/o,italiano,linguistica,Sì,c,A,Non so se la rana abbia squarciato l'orsacchiotto%2C ma se la papera è triste che l'abbia squarciato%2C le disegnerà sulla faccia con l'indelebile.,I don't know whether the frog cut open the teddy bear%2C but if the duck is sad that he did%2C she will draw on his face with sharpie.,6,true_factive,dontknowwhether,5,11471,12012,68,3
180376,30,femmina,destrimana/o,italiano,linguistica,Sì,c,A,Non so se la papera abbia tagliuzzato il poster%2C ma se il panda capisce che l'ha tagliuzzato%2C le verserà del succo nello zaino.,I don't know whether the duck cut the poster%2C but if the panda understands that she did%2C he will pour juice into her backpack.,12,semi_factive,dontknowwhether,5,3774,4370,69,3
180376,30,femmina,destrimana/o,italiano,linguistica,Sì,c,A,Non so se la rana abbia dimenticato il compleanno della papera%2C ma se la papera pensa che l'abbia dimenticato%2C nasconderà il diario dell'amicizia nel bosco.,I don't know whether the frog forgot the duck's birthday%2C but if the duck thinks that he did%2C she will hide the friendship book in the wood.,18,non_factive,dontknowwhether,7,6416,7413,71,3
180376,30,femmina,destrimana/o,italiano,linguistica,Sì,c,A,Il panda non ha spaccato il trenino%2C ma se la papera crede che l'abbia spaccato%2C gli ruberà il quaderno da colorare. ,The panda didn't break the model train%2C but if the duck believes that he did%2C she will steal his coloring book.,21,non_factive,notpif,7,9091,12297,73,4
180376,30,femmina,destrimana/o,italiano,linguistica,Sì,c,A,Il panda non ha forato il gonfiabile%2C ma se la rana si rende conto che l'ha forato%2C lo dirà alla maestra.,The panda didn't make a hole in the bouncy castle%2C but if the frog realizes that he did%2C he will tell the teacher.,15,semi_factive,notpif,1,12901,14032,74,4
180376,30,femmina,destrimana/o,italiano,linguistica,Sì,c,A,Il panda non ha fatto morire le rose%2C ma la papera è arrabbiata che le abbia fatte morire. ,I don't know if the panda made the roses die%2C but the duck is angry that he made them die.,33,true_factive,dontknowwhetherand,4,5742,7276,75,4
180376,30,femmina,destrimana/o,italiano,linguistica,Sì,c,B,La papera non ha smarrito la chiave della cantina%2C ma la rana%2C dopo averla cercata%2C ha erroneamente capito che la papera l'ha smarrita.,The duck did not misplace the house keys%2C but the frog%2C after looking for them%2C mistakenly realized that the duck misplaced them.,42,semi_factive,mistaken,6,46410,47476,79,4
180376,30,femmina,destrimana/o,italiano,linguistica,Sì,c,B,La papera crede erroneamente che la rana abbia dato via il vestito da festa%2C ed è triste che l'abbia dato via. ,The duck mistakenly believes that the frog stole the party dress%2C and he is sad that he stole it.,39,true_factive,mistaken,7,6840,8163,82,4
180376,30,femmina,destrimana/o,italiano,linguistica,Sì,c,B,Il panda crede erroneamente che la rana abbia forzato la porta della cantina%2C ed è arrabbiato che l'abbia forzata. ,The panda mistakenly believes that the frog smashed the cellar door%2C and is angry that he smashed it.,35,true_factive,mistaken,7,8104,8904,83,4
180376,30,femmina,destrimana/o,italiano,linguistica,Sì,c,B,Il panda non ha forzato la serratura%2C ma la papera%2C dopo averla controllata%2C ha erroneamente capito che il panda l'ha forzata.,The panda did not pick the lock%2C but the duck%2C after checking it%2C mistakenly realized that the panda had picked it.,43,semi_factive,mistaken,6,7965,8676,86,4
180376,30,femmina,destrimana/o,italiano,linguistica,Sì,c,B,Il panda non ha cambiato le regole del gioco di ruolo%2C ma la papera%2C dopo averle ripassate%2C si è erroneamente resa conto che il panda le ha cambiate.,The panda did not change the rules of the role-playing game%2C but the duck%2C after reviewing them%2C mistakenly realized that the panda changed them.,46,semi_factive,mistaken,6,7471,9691,87,4
180376,30,femmina,destrimana/o,italiano,linguistica,Sì,c,B,La rana crede erroneamente che la papera abbia dimenticato la torta%2C ed è arrabbiata che l'abbia dimenticata. ,The frog mistakenly believes the duck forgot the cake%2C and is angry that he forgot it.,34,true_factive,mistaken,7,8789,15508,89,4
180376,30,femmina,destrimana/o,italiano,linguistica,Sì,c,B,La rana crede erroneamente che il panda abbia perduto l'album dei ricordi%2C ed è triste che l'abbia perduto. ,The frog mistakenly believes that the panda has lost the scrapbook%2C and he is sad that he has lost it.,38,true_factive,mistaken,7,6490,7418,91,4
180376,30,femmina,destrimana/o,italiano,linguistica,Sì,c,B,La rana non ha copiato le risposte della verifica%2C ma il panda%2C dopo averle viste%2C si è erroneamente reso conto che la rana le ha copiate.,The frog did not copy the answers in the check%2C but the panda%2C after seeing them%2C mistakenly realized that the frog copied them.,47,semi_factive,mistaken,6,9390,10263,93,4
764579,23,femmina,destrimana/o,italiano,Linguistica,No,d,A,La rana non ha strappato il biglietto di auguri%2C ma se il panda pensa che l'abbia strappato%2C si metterà a piangere.,The frog didn't tear up the birthday card%2C but if the panda thinks that he did%2C he will start to cry.,20,non_factive,notpif,7,9206,11458,2,1
764579,23,femmina,destrimana/o,italiano,Linguistica,No,d,A,La papera non ha imbrattato il muro%2C ma se il panda crede che l'abbia imbrattato%2C le nasconderà tutti i pennarelli.,The duck didn't paint the wall%2C but if the panda believes that she did%2C he will hide all of her crayons.,24,non_factive,notpif,7,12717,13561,4,1
764579,23,femmina,destrimana/o,italiano,Linguistica,No,d,A,Non so se il panda abbia bruciato l'album di foto%2C ma se la rana è triste che l'abbia bruciato%2C piangerà a dirotto.,I don't know whether the panda burned the photo album%2C but if the frog is sad that he did%2C he will cry his eyes out.,7,true_factive,dontknowwhether,4,15813,16553,5,1
764579,23,femmina,destrimana/o,italiano,Linguistica,No,d,A,Non so se il panda abbia spaccato il trenino%2C ma se la papera crede che l'abbia spaccato%2C gli ruberà il quaderno da colorare. ,I don't know whether the panda broke the model train%2C but if the duck believes that he did%2C she will steal his coloring book.,21,non_factive,dontknowwhether,4,15510,73816,6,1
764579,23,femmina,destrimana/o,italiano,Linguistica,No,d,A,Il panda non ha letto il diario segreto%2C ma se la rana si rende conto che l'ha letto%2C considererà la loro amicizia rovinata.,The panda didn't read the diary%2C but if the frog realizes that he did%2C he will consider their friendship ruined.,16,semi_factive,notpif,7,10033,11356,11,1
764579,23,femmina,destrimana/o,italiano,Linguistica,No,d,A,La rana non ha squarciato l'orsacchiotto%2C ma se la papera è triste che l'abbia squarciato%2C le disegnerà sulla faccia con l'indelebile.,The frog didn't cut open the teddy bear%2C but if the duck is sad that he did%2C she will draw on his face with sharpie.,6,true_factive,notpif,2,6534,7858,13,1
764579,23,femmina,destrimana/o,italiano,Linguistica,No,d,A,La papera non ha buttato via la cartolina%2C ma se il panda capisce che l'ha buttata via%2C non le parlerà mai più.,The duck didn't throw away the postcard%2C but if the panda understands that she did%2C he will not speak to her anymore.,10,semi_factive,notpif,3,16814,17714,14,1
764579,23,femmina,destrimana/o,italiano,Linguistica,No,d,A,La papera non ha tagliuzzato il poster%2C ma se il panda capisce che l'ha tagliuzzato%2C le verserà del succo nello zaino.,The duck didn't cut the poster%2C but if the panda understands that she did%2C he will pour juice into her backpack.,12,semi_factive,notpif,3,10923,12014,18,1
764579,23,femmina,destrimana/o,italiano,Linguistica,No,d,A,Non so se il panda abbia danneggiato il microfono%2C ma se la rana è arrabbiata che l'abbia danneggiato%2C lo escluderà dalla serata di karaoke. ,I don't know whether the panda damaged the mic%2C but if the frog is angry that he did%2C he will uninvite him from karaoke night.,3,true_factive,dontknowwhether,2,7326,8451,19,1
764579,23,femmina,destrimana/o,italiano,Linguistica,No,d,A,Non so se la papera abbia preso il voto massimo%2C ma se la rana pensa che l'abbia preso%2C sarà gelosa.,I don't know whether the duck got the top grade%2C but if the frog thinks that she did%2C he will be jealous.,17,non_factive,dontknowwhether,7,4139,4990,20,1
764579,23,femmina,destrimana/o,italiano,Linguistica,No,d,A,La rana non ha forzato la porta della cantina%2C ma il panda è arrabbiato che l'abbia forzata. ,I don't know if the frog smashed the cellar door%2C but the panda is angry that he smashed it.,35,true_factive,dontknowwhetherand,1,5341,6431,22,1
764579,23,femmina,destrimana/o,italiano,Linguistica,No,d,A,La papera non ha rotto il vasetto di miele%2C ma se il panda si rende conto che l'ha rotto%2C le terrà il broncio., The duck didn't break the honey jar%2C but if the panda realizes that she did%2C he will pout.,14,semi_factive,notpif,2,5817,6776,23,1
764579,23,femmina,destrimana/o,italiano,Linguistica,No,d,A,Il panda non ha rubato il quaderno da colorare%2C ma se la papera è triste che l'abbia rubato%2C lo manderà via.,The panda didn't steal the coloring book%2C but if the duck is sad that he did%2C she will throw him out.,8,true_factive,notpif,1,7067,8090,24,1
764579,23,femmina,destrimana/o,italiano,Linguistica,No,d,A,Il panda non ha bucato il pallone da calcio%2C ma se la rana è arrabbiata che l'abbia bucato%2C gli verserà del latte sul computer.,The panda didn't puncture the football%2C but if the frog is angry that he did%2C he will pour milk over his laptop.,2,true_factive,notpif,3,11364,14900,26,2
764579,23,femmina,destrimana/o,italiano,Linguistica,No,d,A,Il panda non ha forzato la serratura%2C ma la papera%2C dopo averla controllata%2C ha capito che il panda l'ha forzata.,I don't know if the panda picked the lock%2C but the duck%2C after checking it%2C realized that the panda picked it.,43,semi_factive,dontknowwhetherand,2,7875,8872,30,2
764579,23,femmina,destrimana/o,italiano,Linguistica,No,d,A,La rana non ha mai rovesciato la bottiglia d'olio%2C ma se l'ha rovesciata di nuovo ieri%2C la paperà le farà pulire tutta la cucina.,The frog has never knocked over the oil bottle%2C but if she knocked it over again yesterday%2C the duck will make her clean the entire kitchen.,32,again,notpif,1,6254,7283,32,2
764579,23,femmina,destrimana/o,italiano,Linguistica,No,d,A,La rana non ha rovinato il puzzle%2C ma se il panda è arrabbiato che l'abbia rovinato%2C le butterà le scarpe fuori dalla finestra.,The frog didn't ruin the puzzle%2C but if the panda is angry that he did%2C he will throw his shoes out of the window.,4,true_factive,notpif,1,7206,8647,35,2
764579,23,femmina,destrimana/o,italiano,Linguistica,No,d,A,Il panda non ha calpestato le margherite%2C ma se la rana crede che le abbia calpestate%2C preparerà dei gavettoni per punirlo.,The panda didn't trample the daisies%2C but if the frog believes that he did%2C he will prepare water balloons to punish him.,22,non_factive,notpif,7,11586,13256,36,2
764579,23,femmina,destrimana/o,italiano,Linguistica,No,d,A,Non so se la papera abbia distrutto il castello di sabbia%2C ma se il panda è triste che l'abbia distrutto%2C piangerà per tutto il giorno.,I don't know whether the duck destroyed the sand castle%2C but if the panda is sad that she did%2C he will cry all day.,5,true_factive,dontknowwhether,1,11829,12850,37,2
764579,23,femmina,destrimana/o,italiano,Linguistica,No,d,A,Non so se il panda abbia forato il gonfiabile%2C ma se la rana si rende conto che l'ha forato%2C lo dirà alla maestra.,I don't know whether the panda made a hole in the bouncy castle%2C but if the frog realizes that he did%2C he will tell the teacher.,15,semi_factive,dontknowwhether,6,20442,21326,38,2
764579,23,femmina,destrimana/o,italiano,Linguistica,No,d,A,La rana non ha dimenticato il compleanno della papera%2C ma se la papera pensa che l'abbia dimenticato%2C nasconderà il diario dell'amicizia nel bosco.,The frog didn't forget the duck's birthday%2C but if the duck thinks that he did%2C she will hide the friendship book in the wood.,18,non_factive,notpif,7,14219,15297,43,2
764579,23,femmina,destrimana/o,italiano,Linguistica,No,d,A,Non so se la papera abbia perso l'aquilone%2C ma se il panda è arrabbiato che l'abbia perso%2C le getterà gli occhiali da sole in mare.,I don't know whether the duck lost the kite%2C but if the panda is angry that she did%2C he will hurl her sunglasses in the sea.,1,true_factive,dontknowwhether,1,6564,7436,44,2
764579,23,femmina,destrimana/o,italiano,Linguistica,No,d,A,Non so se il panda abbia piegato le lancette dell'orologio%2C ma se la rana si rende conto che le ha piegate%2C gli urlerà contro.,I don't know whether the panda bent the hands of the clock%2C but if the frog realizes that he did%2C he will shout at him.,13,semi_factive,dontknowwhether,5,13697,14238,45,2
764579,23,femmina,destrimana/o,italiano,Linguistica,No,d,A,Non so se la rana abbia truccato il mazzo di carte%2C ma se il panda capisce che l'ha truccato%2C la escluderà dal prossimo pigiama party. ,I don't know whether the frog manipulated the deck%2C but if the panda understands that she did%2C he will uninvite him from the next sleepover.,9,semi_factive,dontknowwhether,5,4279,4923,46,2
764579,23,femmina,destrimana/o,italiano,Linguistica,No,d,A,Non so se la rana abbia nascosto i pennarelli%2C ma se la papera capisce che li ha nascosti%2C le sotterrerà le figurine in giardino.,I don't know whether the frog hid the crayons%2C but if the duck understands that he did%2C she bury his favorite figurines in the yard.,11,semi_factive,dontknowwhether,5,14146,16889,47,2
764579,23,femmina,destrimana/o,italiano,Linguistica,No,d,A,Non so se la rana abbia finito la limonata%2C ma se la papera crede che l'abbia finita%2C andrà a comprare dei limoni.,I don't know whether the frog finished the lemonade%2C but if the duck believes that he did%2C she will go buy lemons.,23,non_factive,dontknowwhether,7,6409,9791,48,2
764579,23,femmina,destrimana/o,italiano,Linguistica,No,d,A,La papera non ha smarrito la chiave della cantina%2C ma la rana%2C dopo averla cercata%2C ha capito che la papera l'ha smarrita.,I don't know if the duck misplaced the house keys%2C but the frog%2C after looking for them%2C realized that the duck misplaced them.,42,semi_factive,dontknowwhetherand,1,288459,316081,51,3
764579,23,femmina,destrimana/o,italiano,Linguistica,No,d,A,Il panda non ha rotto nulla%2C ma se ha rotto anche il vaso di porcellana%2C la rana andrà su tutte le furie.,The panda didn't break anything%2C but if he broke the porcelaine vase too%2C the frog will flare up.,28,too,notpif,1,4577,24658,53,3
764579,23,femmina,destrimana/o,italiano,Linguistica,No,d,A,La papera non ha mai bruciato il pane%2C ma se l'ha bruciato di nuovo ieri%2C il panda non farà più colazione con lei.,The duck has never burnt the bread%2C but if she burnt it again yesterday%2C the panda won't have breakfast with her anymore.,30,again,notpif,1,4517,5683,54,3
764579,23,femmina,destrimana/o,italiano,Linguistica,No,d,A,La rana non ha perduto nulla%2C ma se ha perduto anche le chiavi%2C la papera andrà nel panico.,The frog didn't lose anything%2C but if she lost the keys too%2C the duck will panic.,26,too,notpif,1,25465,26452,55,3
764579,23,femmina,destrimana/o,italiano,Linguistica,No,d,A,Il panda non ha perduto l'album dei ricordi%2C ma la rana è triste che l'abbia perduto. ,I don't know if the panda lost the scrapbook%2C but the frog is sad that he lost it.,38,true_factive,dontknowwhetherand,1,13918,15117,58,3
764579,23,femmina,destrimana/o,italiano,Linguistica,No,d,A,La rana non ha dato via il vestito da festa%2C ma la papera è triste che l'abbia dato via. ,I don't know if the frog stole the party dress%2C but the duck is sad that he stole it.,39,true_factive,dontknowwhetherand,1,16945,17931,60,3
764579,23,femmina,destrimana/o,italiano,Linguistica,No,d,A,Il panda non ha cambiato le regole del gioco di ruolo%2C ma la papera%2C dopo averle ripassate%2C si è resa conto che il panda le ha cambiate.,I don't know whether the panda changed the rules of the role-playing game%2C but the duck%2C after reviewing them%2C realized that the panda changed them.,46,semi_factive,dontknowwhetherand,2,17981,18962,62,3
764579,23,femmina,destrimana/o,italiano,Linguistica,No,d,A,Non so se il panda abbia mai offeso la rana%2C ma se l'ha offesa di nuovo ieri%2C la rana lo prenderà in giro davanti a tutti.,I don't know whether the panda has ever offended the frog%2C but if he offended her again yesterday%2C the frog will make fun of him in font of everybody.,31,again,dontknowwhether,7,15444,18535,65,3
764579,23,femmina,destrimana/o,italiano,Linguistica,No,d,A,La rana non ha copiato le risposte della verifica%2C ma il panda%2C dopo averle viste%2C si è reso conto che la rana le ha copiate.,I don't know whether the frog copied the answers in the check%2C but the panda%2C after seeing them%2C realized that the frog copied them.,47,semi_factive,dontknowwhetherand,1,7540,8700,66,3
764579,23,femmina,destrimana/o,italiano,Linguistica,No,d,A,La papera non ha dimenticato la torta%2C ma la rana è arrabbiata che l'abbia dimenticata. ,I don't know if the duck forgot the cake%2C but the frog is angry that he forgot it.,34,true_factive,dontknowwhetherand,1,281847,282704,67,3
764579,23,femmina,destrimana/o,italiano,Linguistica,No,d,A,Non so se la papera abbia sporcato qualcosa%2C ma se ha sporcato anche il tappeto%2C il panda non la inviterà più a casa sua.,I don't know whether the duck dirtied anything%2C but if she dirtied the carpet too%2C the panda won't invite her anymore.,27,too,dontknowwhether,5,7251,8287,69,3
764579,23,femmina,destrimana/o,italiano,Linguistica,No,d,A,Non so se la papera abbia smarrito il bracciale dell'amicizia%2C ma se la rana pensa che l'abbia smarrito%2C sarà molto delusa.,I don't know whether the duck lost the friendship bracelet%2C but if the frog thinks that she did%2C he will be very disappointed.,19,non_factive,dontknowwhether,7,5120,14006,70,3
764579,23,femmina,destrimana/o,italiano,Linguistica,No,d,A,Non so se il panda abbia sottratto qualcosa alla rana%2C ma se le ha sottratto anche il cappello%2C la rana gli strapperà il costume da bagno.,I don't know whether the panda stole anything from the frog%2C but if he stole her hat too%2C the frog will rip his bathing suit.,25,too,dontknowwhether,6,50969,51958,71,3
764579,23,femmina,destrimana/o,italiano,Linguistica,No,d,A,Non so se la rana abbia mai usato il giocattolo della papera%2C ma se l'ha usato di nuovo ieri%2C la papera le getterà tutti i disegni nel fango.,I don't know whether the frog has nver used the duck's toy%2C but if she used it again yesterday%2C the duck will throw all her drawing in the mud.,29,again,dontknowwhether,7,10497,11631,72,3
